month,country,stock_code,description,total_quantity,total_revenue,num_transactions,num_customers
2010-11,United Kingdom,84637,KITCHEN FLOWER POTS WALL PLAQUE,5,43.29,4,0
2010-11,United Kingdom,84638,SMALL KITCHEN FLOWER POTS PLAQUE,4,42.76,3,0
2010-11,United Kingdom,84658,WHITE STITCHED CUSHION COVER,15,104.25,5,0
2010-11,United Kingdom,84659A,WHITE TRAVEL ALARM CLOCK,53,134.27,24,0
2010-11,United Kingdom,84660A,WHITE STITCHED WALL CLOCK,1,3.75,1,0
2010-11,United Kingdom,84660B,BLACK STITCHED WALL CLOCK,5,18.75,2,0
2010-11,United Kingdom,84660C,PINK STITCHED WALL CLOCK,8,33.87,4,0
2010-11,United Kingdom,84660a,WHITE STITCHED WALL CLOCK,1,7.62,1,0
2010-11,United Kingdom,84660b,BLACK STITCHED WALL CLOCK,1,7.62,1,0
2010-11,United Kingdom,84660c,PINK STITCHED WALL CLOCK,1,7.62,1,0
2010-11,United Kingdom,84661B,BLACK SQUARE TABLE CLOCK,26,71.32,2,0
2010-11,United Kingdom,84661c,PINK SQUARE TABLE CLOCK,1,5.06,1,0
2010-11,United Kingdom,84663A,GRASS HOPPER WOODEN WALL CLOCK,1,5.91,1,0
2010-11,United Kingdom,84665,SQUARE CHERRY BLOSSOM CABINET,9,73.55,3,0
2010-11,United Kingdom,84670,JAPANESE CROCHETED ANIMAL,582,218.52,14,0
2010-11,United Kingdom,84673A,PINK FLY SWAT,8,5.2,5,0
2010-11,United Kingdom,84673B,BLUE FLY SWAT,16,16.7,12,0
2010-11,United Kingdom,84674,FLYING PIG WATERING CAN,11,35.41,4,0
2010-11,United Kingdom,84675,FROG KING WATERING CAN,3,8.85,1,0
2010-11,United Kingdom,84678,CLASSICAL ROSE SMALL VASE,18,50.91,6,0
2010-11,United Kingdom,84683,CLASSICAL ROSE CANDLESTAND,29,23.11,3,0
2010-11,United Kingdom,84685,BEACH HUT KEY CABINET,24,113.22,11,0
2010-11,United Kingdom,84686,BEACH HUT MIRROR,5,29.69,4,0
2010-11,United Kingdom,84687,BEACH HUT SHELF W 3 DRAWERS,7,47.57,3,0
2010-11,United Kingdom,84688,BEACH HUT DESIGN BLACKBOARD,16,76.44,5,0
2010-11,United Kingdom,84689,S/2 BEACH HUT TREASURE CHESTS,3,17.85,2,0
2010-11,United Kingdom,84692,BOX OF 24 COCKTAIL PARASOLS,832,482.78,68,0
2010-11,United Kingdom,84707A,SILVER JEWELLED MIRROR TRINKET TRAY,1,9.95,1,0
2010-11,United Kingdom,84707B,PINK JEWELLED MIRROR TRINKET TRAY,1,8.47,1,0
2010-11,United Kingdom,84708B,PINK JEWELLED PHOTO FRAME,8,39.6,4,0
2010-11,United Kingdom,84709B,PINK OVAL JEWELLED MIRROR,2,11.9,2,0
2010-11,United Kingdom,84711B,PINK OVAL SHAPE TRINKET BOX,2,16.94,2,0
2010-11,United Kingdom,84712B,PINK JEWELLED PHOTO FRAME,2,15.9,2,0
2010-11,United Kingdom,84715,SET OF 6 ICE CREAM SKITTLES,10,29.5,4,0
2010-11,United Kingdom,84725,FREESTYLE CANVAS ART PICTURE,25,43.85,2,0
2010-11,United Kingdom,84732B,CUTE BIRD CEATURE SCREEN,1,1.65,1,0
2010-11,United Kingdom,84744,S/6 SEW ON CROCHET FLOWERS,7,8.75,2,0
2010-11,United Kingdom,84748,FOLK FELT HANGING MULTICOL GARLAND,2,15.24,2,0
2010-11,United Kingdom,84750A,PINK SMALL GLASS CAKE STAND,24,51.32,6,0
2010-11,United Kingdom,84750B,BLACK SMALL GLASS CAKE STAND,38,76.36,11,0
2010-11,United Kingdom,84751B,BLACK MEDIUM GLASS CAKE STAND,2,7.5,2,0
2010-11,United Kingdom,84754,S/15 SILVER GLASS BAUBLES IN BAG,513,665.37,52,0
2010-11,United Kingdom,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,724,502.12,45,0
2010-11,United Kingdom,84760S,SMALL HANGING GLASS+ZINC LANTERN,15,26.34,3,0
2010-11,United Kingdom,84763,ZINC FINISH 15CM PLANTER POTS,136,154.28,10,0
2010-11,United Kingdom,84766,SILVER ROCOCO CANDLE STICK,14,83.3,6,0
2010-11,United Kingdom,84773,RED ROSE AND LACE C/COVER,11,32.45,4,0
2010-11,United Kingdom,84789,ENCHANTED BIRD PLANT CAGE,46,159.7,11,0
2010-11,United Kingdom,84792,ENCHANTED BIRD COATHANGER 5 HOOK,99,440.19,24,0
2010-11,United Kingdom,84795B,SUNSET CHECK HAMMOCK,2,33.96,2,0
2010-11,United Kingdom,84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,2,25.5,1,0
2010-11,United Kingdom,84799,SPRIG LAVENDER ARTIFICIAL FLOWER,51,23.91,2,0
2010-11,United Kingdom,84800L,LARGE WHITE/PINK ROSE ART FLOWER,14,29.68,2,0
2010-11,United Kingdom,84800M,MEDIUM WHITE/PINK ROSE ART FLOWER,3,5.07,1,0
2010-11,United Kingdom,84801B,WHITE HYDRANGEA ART FLOWER,24,50.4,2,0
2010-11,United Kingdom,84802A,WHITE ANEMONE ARTIFICIAL FLOWER,2,3.38,1,0
2010-11,United Kingdom,84803A,PINK ALLIUM  ARTIFICIAL FLOWER,14,23.66,2,0
2010-11,United Kingdom,84806B,WHITE CANDYSTUFT ARTIFICIAL FLOWER,33,47.85,3,0
2010-11,United Kingdom,84813,SET OF 4 DIAMOND NAPKIN RINGS,3,50.99,3,0
2010-11,United Kingdom,84816,DANISH ROSE BEDSIDE CABINET,3,119.85,2,0
2010-11,United Kingdom,84817,DANISH ROSE DECORATIVE PLATE,38,79.8,6,0
2010-11,United Kingdom,84818,DANISH ROSE PHOTO FRAME,7,17.85,4,0
2010-11,United Kingdom,84819,DANISH ROSE ROUND SEWING BOX,6,25.5,2,0
2010-11,United Kingdom,84820,DANISH ROSE TRINKET TRAYS,4,23.8,2,0
2010-11,United Kingdom,84821,DANISH ROSE DELUXE COASTER,78,66.3,5,0
2010-11,United Kingdom,84826,ASSTD DESIGN 3D PAPER STICKERS,70,53,2,0
2010-11,United Kingdom,84827,ASS DES PHONE SPONGE CRAFT STICKER,62,40.3,3,0
2010-11,United Kingdom,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,37,60.11,14,0
2010-11,United Kingdom,84832,ZINC WILLIE WINKIE  CANDLE STICK,637,556.99,53,0
2010-11,United Kingdom,84836,ZINC METAL HEART DECORATION,1411,1741.61,121,0
2010-11,United Kingdom,84840,SWEETHEART CARRY-ALL BASKET,62,523.56,27,0
2010-11,United Kingdom,84842,HELLO SAILOR BATHROOM SET,2,7.5,2,0
2010-11,United Kingdom,84843,WHITE SOAP RACK WITH 2 BOTTLES,10,59.5,6,0
2010-11,United Kingdom,84846A,SCENTED CANDLE IN DIGITALIS TIN,13,29.41,2,0
2010-11,United Kingdom,84847,FLORAL BATHROOM SET,5,18.75,4,0
2010-11,United Kingdom,84849A,HELLO SAILOR BLUE SOAP HOLDER,20,40.48,7,0
2010-11,United Kingdom,84849B,FAIRY SOAP SOAP HOLDER,66,116.55,14,0
2010-11,United Kingdom,84849D,HOT BATHS SOAP HOLDER,40,72.61,10,0
2010-11,United Kingdom,84854,GIRLY PINK TOOL SET,9,44.55,8,0
2010-11,United Kingdom,84856L,LARGE TAHITI BEACH BAG,3,29.69,3,0
2010-11,United Kingdom,84858C,PINK RIVIERA HANDBAG,4,23.8,3,0
2010-11,United Kingdom,84859C,PINK DISCO HANDBAG,2,11.9,2,0
2010-11,United Kingdom,84865,NEW BAROQUE BLACK PHOTO ALBUM,7,67.98,6,0
2010-11,United Kingdom,84870B,BLUE GEISHA GIRL,4,15,1,0
2010-11,United Kingdom,84870C,GREEN GEISHA GIRL,11,41.25,3,0
2010-11,United Kingdom,84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,1,16.95,1,0
2010-11,United Kingdom,84872a,TEATIME FUNKY FLOWER BACKPACK FOR 2,2,22.04,2,0
2010-11,United Kingdom,84874B,BLUE TRAVEL FIRST AID KIT,5,8.25,4,0
2010-11,United Kingdom,84875A,PINK SQUARE COMPACT MIRROR,6,22.5,3,0
2010-11,United Kingdom,84875B,GREEN SQUARE COMPACT MIRROR,2,7.5,1,0
2010-11,United Kingdom,84875D,BLUE SQUARE COMPACT MIRROR,2,7.5,2,0
2010-11,United Kingdom,84876B,GREEN HEART COMPACT MIRROR,24,30,1,0
2010-11,United Kingdom,84876D,BLUE HEART COMPACT MIRROR,34,67.5,5,0
2010-11,United Kingdom,84877A,PINK ROUND COMPACT MIRROR,7,26.25,5,0
2010-11,United Kingdom,84877B,GREEN ROUND COMPACT MIRROR,26,36.72,3,0
2010-11,United Kingdom,84877D,BLUE ROUND COMPACT MIRROR,2,7.11,2,0
2010-11,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,9071,14261.43,225,0
2010-11,United Kingdom,84880,WHITE WIRE EGG HOLDER,132,737.08,28,0
2010-11,United Kingdom,84881,BLUE WIRE SPIRAL CANDLE HOLDER,6,38.1,3,0
2010-11,United Kingdom,84882,GREEN WIRE STANDING CANDLE HOLDER,3,11.25,2,0
2010-11,United Kingdom,84884A,ANT WHITE WIRE HEART SPIRAL,86,350.02,17,0
2010-11,United Kingdom,84884a,ANT WHITE WIRE HEART SPIRAL,3,25.41,3,0
2010-11,United Kingdom,84891B,GREEN WIRE GOBLET CANDLEHOLDER,2,15.9,1,0
2010-11,United Kingdom,84898F,YELLOW FLOWERS FELT HANDBAG KIT,9,18.9,5,0
2010-11,United Kingdom,84899F,YELLOW PURPLE DAISY FELT PURSE KIT,5,12.55,5,0
2010-11,United Kingdom,84905,PINK BUTTERFLY CUSHION COVER,6,29.7,2,0
2010-11,United Kingdom,84907,PINK YELLOW PATCH CUSHION COVER,1,7.65,1,0
2010-11,United Kingdom,84908A,PINK 5 PATCH FLOWER CUSHION COVER,2,11.82,2,0
2010-11,United Kingdom,84908B,BLUE 5 PATCH FLOWER CUSHION COVER,7,41.37,5,0
2010-11,United Kingdom,84910A,PINK PAISLEY CUSHION COVER,24,91.2,6,0
2010-11,United Kingdom,84912A,PINK ROSE WASHBAG,24,84.15,13,0
2010-11,United Kingdom,84912B,GREEN ROSE WASHBAG,35,124.62,20,0
2010-11,United Kingdom,84913A,SOFT PINK ROSE TOWEL,38,130.26,19,0
2010-11,United Kingdom,84913B,MINT GREEN ROSE TOWEL,26,88.65,15,0
2010-11,United Kingdom,84915,HAND TOWEL PINK FLOWER AND DAISY,1,5.95,1,0
2010-11,United Kingdom,84916,HAND TOWEL PALE BLUE W FLOWERS,6,32.22,5,0
2010-11,United Kingdom,84917,WHITE HAND TOWEL WITH BUTTERFLY,4,16.84,3,0
2010-11,United Kingdom,84920,PINK FLOWER FABRIC PONY,8,45.48,5,0
2010-11,United Kingdom,84922,PINK BUTTERFLY WASHBAG,4,21.22,2,0
2010-11,United Kingdom,84923,PINK BUTTERFLY HANDBAG W BOBBLES,14,58.94,10,0
2010-11,United Kingdom,84924A,WAKE UP COCKEREL CALENDAR SIGN,14,60.24,8,0
2010-11,United Kingdom,84924D,LA PALMIERA METAL SIGN CALENDAR,1,3.75,1,0
2010-11,United Kingdom,84925D,LA PALMIERA WALL THERMOMETER,1,2.55,1,0
2010-11,United Kingdom,84925F,PSYCHEDELIC WALL THERMOMETER,4,10.2,4,0
2010-11,United Kingdom,84926A,WAKE UP COCKEREL TILE COASTER,12,15,1,0
2010-11,United Kingdom,84926D,LA PALMIERA TILE COASTER,2,5.02,2,0
2010-11,United Kingdom,84926E,FLOWERS TILE COASTER,54,70.02,5,0
2010-11,United Kingdom,84927A,WAKE UP COCKEREL TILE HOOK,2,6.31,2,0
2010-11,United Kingdom,84927D,LA PALMIERA TILE HOOK,7,16.81,2,0
2010-11,United Kingdom,84927E,FLOWERS TILE HOOK,3,10.52,3,0
2010-11,United Kingdom,84927F,PSYCHEDELIC TILE HOOK,3,8.41,2,0
2010-11,United Kingdom,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,72,39.6,4,0
2010-11,United Kingdom,84931A,PINK SCOTTIE DOG W FLOWER PATTERN,18,48.41,7,0
2010-11,United Kingdom,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,18,48.41,6,0
2010-11,United Kingdom,84944,SET OF 6 KASHMIR FOLKART BAUBLES,103,437.75,30,0
2010-11,United Kingdom,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,2400,2007.12,63,0
2010-11,United Kingdom,84946,ANTIQUE SILVER TEA GLASS ETCHED,3912,5790.68,181,0
2010-11,United Kingdom,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1226,1542.7,78,0
2010-11,United Kingdom,84949,SILVER HANGING T-LIGHT HOLDER,1454,2281.8,77,0
2010-11,United Kingdom,84950,ASSORTED COLOUR T-LIGHT HOLDER,473,340.57,32,0
2010-11,United Kingdom,84951A,SET OF 4 PISTACHIO LOVEBIRD COASTER,3,15.18,3,0
2010-11,United Kingdom,84951B,SET OF 4 BLACK LOVEBIRD COASTERS,7,20.36,2,0
2010-11,United Kingdom,84952A,CLEAR LOVE BIRD T-LIGHT HOLDER,2,7.5,1,0
2010-11,United Kingdom,84952B,BLACK LOVE BIRD T-LIGHT HOLDER,37,67.62,3,0
2010-11,United Kingdom,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,48,105,5,0
2010-11,United Kingdom,84963A,PINK PAINTED KASHMIRI CHAIR,8,120,1,0
2010-11,United Kingdom,84963B,BLUE PAINTED KASHMIRI CHAIR,8,120,1,0
2010-11,United Kingdom,84964A,PINK PAINTED KASHMIRI TABLE,1,30,1,0
2010-11,United Kingdom,84964B,BLUE PAINTED KASHMIRI TABLE,1,30,1,0
2010-11,United Kingdom,84965A,PINK KASHMIRI COFFEE TABLE,1,30,1,0
2010-11,United Kingdom,84965B,BLUE KASHMIRI COFFEE TABLE,1,30,1,0
2010-11,United Kingdom,84966A,PINK KASHMIRI BOXED MIRROR,8,96,1,0
2010-11,United Kingdom,84966B,BLUE KASHMIRI BOXED MIRROR,12,144,1,0
2010-11,United Kingdom,84966C,GREEN KASHMIRI BOXED MIRROR,4,48,1,0
2010-11,United Kingdom,84967B,BLUE KASHMIRI OCCASIONAL TABLE,3,90,1,0
2010-11,United Kingdom,84968A,SET OF 16 VINTAGE ROSE CUTLERY,1,12.75,1,0
2010-11,United Kingdom,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,22,305.98,9,0
2010-11,United Kingdom,84968D,SET OF 16 VINTAGE RED CUTLERY,13,178.49,4,0
2010-11,United Kingdom,84968E,SET OF 16 VINTAGE BLACK CUTLERY,10,127.5,4,0
2010-11,United Kingdom,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,16,216.74,4,0
2010-11,United Kingdom,84968b,SET OF 16 VINTAGE IVORY CUTLERY,1,25.49,1,0
2010-11,United Kingdom,84968e,SET OF 16 VINTAGE BLACK CUTLERY,1,25.49,1,0
2010-11,United Kingdom,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,26,144.26,15,0
2010-11,United Kingdom,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,782,807.92,68,0
2010-11,United Kingdom,84970S,HANGING HEART ZINC T-LIGHT HOLDER,1468,1280.9,95,0
2010-11,United Kingdom,84970l,SINGLE HEART ZINC T-LIGHT HOLDER,4,8.52,4,0
2010-11,United Kingdom,84970s,HANGING HEART ZINC T-LIGHT HOLDER,30,63.9,7,0
2010-11,United Kingdom,84971S,SMALL HEART FLOWERS HOOK,184,174.22,26,0
2010-11,United Kingdom,84975,HEART SHAPED MIRROR,4,6.76,2,0
2010-11,United Kingdom,84976,RECTANGULAR SHAPED MIRROR,2,6.72,1,0
2010-11,United Kingdom,84977,WIRE FLOWER T-LIGHT HOLDER,2,2.5,1,0
2010-11,United Kingdom,84978,HANGING HEART JAR T-LIGHT HOLDER,735,1014.87,67,0
2010-11,United Kingdom,84984C,ORIENTAL BLUE CUSHION COVER,4,18.6,2,0
2010-11,United Kingdom,84984D,ORIENTAL RED CUSHION COVER,7,32.55,3,0
2010-11,United Kingdom,84985A,SET OF 72 GREEN PAPER DOILIES,25,36.25,5,0
2010-11,United Kingdom,84985a,SET OF 72 GREEN PAPER DOILIES,4,11.92,4,0
2010-11,United Kingdom,84987,SET OF 36 TEATIME PAPER DOILIES,438,644.15,48,0
2010-11,United Kingdom,84988,SET OF 72 PINK HEART PAPER DOILIES,246,426.57,41,0
2010-11,United Kingdom,84989A,75 GREEN FAIRY CAKE CASES,6,3.3,3,0
2010-11,United Kingdom,84989a,75 GREEN FAIRY CAKE CASES,6,12.78,4,0
2010-11,United Kingdom,84990,60 GOLD AND SILVER FAIRY CAKE CASES,79,34.09,4,0
2010-11,United Kingdom,84991,60 TEATIME FAIRY CAKE CASES,2144,1098.61,114,0
2010-11,United Kingdom,84992,72 SWEETHEART FAIRY CAKE CASES,2892,1347.04,84,0
2010-11,United Kingdom,84993A,75 GREEN PETIT FOUR CASES,80,37.8,15,0
2010-11,United Kingdom,84993B,75 BLACK PETIT FOUR CASES,17,7.14,6,0
2010-11,United Kingdom,84993a,75 GREEN PETIT FOUR CASES,4,3.4,2,0
2010-11,United Kingdom,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,154,589.11,39,0
2010-11,United Kingdom,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,292,1114.35,79,0
2010-11,United Kingdom,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,18,67.5,3,0
2010-11,United Kingdom,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,212,806.61,59,0
2010-11,United Kingdom,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,12,45,2,0
2010-11,United Kingdom,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,297,1148.58,79,0
2010-11,United Kingdom,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,12,45,2,0
2010-11,United Kingdom,84997a,GREEN 3 PIECE POLKADOT CUTLERY SET,8,67.76,1,0
2010-11,United Kingdom,84997b,RED 3 PIECE RETROSPOT CUTLERY SET,66,559.02,7,0
2010-11,United Kingdom,84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,47,398.09,7,0
2010-11,United Kingdom,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,50,423.5,7,0
2010-11,United Kingdom,85006,SET 4 NURSERY DES ROUND BOXES,5,14.75,4,0
2010-11,United Kingdom,85008,SET OF 3 CONEY ISLAND OVAL BOXES,25,70.95,6,0
2010-11,United Kingdom,85014A,BLACK/BLUE POLKADOT UMBRELLA,121,695.95,34,0
2010-11,United Kingdom,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3,17.85,1,0
2010-11,United Kingdom,85014B,RED RETROSPOT UMBRELLA,168,1050.07,54,0
2010-11,United Kingdom,85014a,BLACK/BLUE POLKADOT UMBRELLA,5,63.6,5,0
2010-11,United Kingdom,85014b,RED RETROSPOT UMBRELLA,7,89.04,6,0
2010-11,United Kingdom,85015,SET OF 12  VINTAGE POSTCARD SET,19,48.17,6,0
2010-11,United Kingdom,85016,SET OF 6 VINTAGE NOTELETS KIT,21,53.19,8,0
2010-11,United Kingdom,85017A,ENVELOPE 50 ROMANTIC IMAGES,35,29.75,22,0
2010-11,United Kingdom,85017B,ENVELOPE 50 BLOSSOM IMAGES,34,28.9,20,0
2010-11,United Kingdom,85017C,ENVELOPE 50 CURIOUS IMAGES,19,16.15,4,0
2010-11,United Kingdom,85018B,S/6 PAPER BOXES BLOSSOM IMAGES,1,4.25,1,0
2010-11,United Kingdom,85018C,S/6 PAPER BOXES CURIOUS IMAGES,3,12.75,1,0
2010-11,United Kingdom,85018D,YULETIDE IMAGES S/6 PAPER BOXES,115,170.73,20,0
2010-11,United Kingdom,85019A,ROMANTIC IMAGES NOTEBOOK SET,4,17,2,0
2010-11,United Kingdom,85019B,BLOSSOM  IMAGES NOTEBOOK SET,1,4.25,1,0
2010-11,United Kingdom,85019C,CURIOUS  IMAGES NOTEBOOK SET,38,93.72,4,0
2010-11,United Kingdom,85020,ROUND PINK HEART MIRROR,3,6.3,2,0
2010-11,United Kingdom,85023B,EAU DE NILE JEWELLED PHOTOFRAME,5,12.75,3,0
2010-11,United Kingdom,85024C,PINK SMALL JEWELLED PHOTOFRAME,9,14.85,4,0
2010-11,United Kingdom,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,13,23.16,7,0
2010-11,United Kingdom,85025C,PINK HEART SHAPE PHOTO FRAME,15,24.75,6,0
2010-11,United Kingdom,85026B,EAU DE NILE JEWELLED T-LIGHT HOLDER,13,11.86,3,0
2010-11,United Kingdom,85027L,FRENCH CHATEAU LARGE PLATTER,5,39.75,3,0
2010-11,United Kingdom,85030,FRENCH CHATEAU OVAL PLATTER,2,15.9,1,0
2010-11,United Kingdom,85031A,ROMANTIC IMAGES SCRAP BOOK SET,5,24.75,5,0
2010-11,United Kingdom,85031B,BLOSSOM IMAGES SCRAP BOOK SET,1,4.95,1,0
2010-11,United Kingdom,85031C,CURIOUS IMAGES SCRAP BOOK SET,5,24.75,4,0
2010-11,United Kingdom,85032A,ROMANTIC IMAGES GIFT WRAP SET,288,187.2,2,0
2010-11,United Kingdom,85032B,BLOSSOM IMAGES GIFT WRAP SET,4,10.51,2,0
2010-11,United Kingdom,85032C,CURIOUS IMAGES GIFT WRAP SET,10,25.22,4,0
2010-11,United Kingdom,85032D,YULETIDE IMAGES GIFT WRAP SET,43,86.78,16,0
2010-11,United Kingdom,85033S,SET/6 SILVER REINDEER T-LIGHTS,1,0.65,1,0
2010-11,United Kingdom,85034A,3 GARDENIA MORRIS BOXED CANDLES,51,227.29,13,0
2010-11,United Kingdom,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,34,142.38,4,0
2010-11,United Kingdom,85034C,3 ROSE MORRIS BOXED CANDLES,9,67.79,6,0
2010-11,United Kingdom,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,53,223.13,17,0
2010-11,United Kingdom,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,50,214.6,12,0
2010-11,United Kingdom,85035C,ROSE 3 WICK MORRIS BOX CANDLE,16,93.32,11,0
2010-11,United Kingdom,85035a,GARDENIA 3 WICK MORRIS BOXED CANDLE,1,8.47,1,0
2010-11,United Kingdom,85035b,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,8.47,1,0
2010-11,United Kingdom,85035c,ROSE 3 WICK MORRIS BOX CANDLE,1,8.47,1,0
2010-11,United Kingdom,85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,99,404.91,21,0
2010-11,United Kingdom,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,25,106.25,7,0
2010-11,United Kingdom,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,9,38.25,3,0
2010-11,United Kingdom,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,316,722.94,35,0
2010-11,United Kingdom,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,129,174.16,25,0
2010-11,United Kingdom,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,141,193.9,21,0
2010-11,United Kingdom,85039C,S/4 BLACK MINI ROSE CANDLE IN BOWL,15,24.86,10,0
2010-11,United Kingdom,85039a,SET/4 RED MINI ROSE CANDLE IN BOWL,6,20.16,4,0
2010-11,United Kingdom,85040A,S/4 PINK FLOWER CANDLES IN BOWL,149,243.09,24,0
2010-11,United Kingdom,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,64,109.02,22,0
2010-11,United Kingdom,85040a,S/4 PINK FLOWER CANDLES IN BOWL,1,3.36,1,0
2010-11,United Kingdom,85042,ANTIQUE LILY FAIRY LIGHTS,1,4.95,1,0
2010-11,United Kingdom,85044,RED REINDEER STRING OF 20 LIGHTS,4,19.8,2,0
2010-11,United Kingdom,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,215,987.73,19,0
2010-11,United Kingdom,85047,WHITE BEADED GARLAND STRING 20LIGHT,3,19.05,2,0
2010-11,United Kingdom,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,637,4878.84,109,0
2010-11,United Kingdom,85049A,TRADITIONAL CHRISTMAS RIBBONS,843,1352.31,81,0
2010-11,United Kingdom,85049B,LUSH GREENS RIBBONS,89,111.25,27,0
2010-11,United Kingdom,85049C,ROMANTIC PINKS RIBBONS,131,166.27,29,0
2010-11,United Kingdom,85049D,BRIGHT BLUES RIBBONS,103,130.01,27,0
2010-11,United Kingdom,85049E,SCANDINAVIAN REDS RIBBONS,604,1057.64,91,0
2010-11,United Kingdom,85049F,BABY BOOM RIBBONS,64,80,15,0
2010-11,United Kingdom,85049G,CHOCOLATE BOX RIBBONS,177,226.29,30,0
2010-11,United Kingdom,85049H,URBAN BLACK RIBBONS,35,46.27,13,0
2010-11,United Kingdom,85049a,TRADITIONAL CHRISTMAS RIBBONS,142,477.12,7,0
2010-11,United Kingdom,85049e,SCANDINAVIAN REDS RIBBONS,116,389.76,7,0
2010-11,United Kingdom,85049g,CHOCOLATE BOX RIBBONS,2,5.02,1,0
2010-11,United Kingdom,85053,FRENCH ENAMEL CANDLEHOLDER,20,44.11,8,0
2010-11,United Kingdom,85054,FRENCH ENAMEL POT W LID,27,91.49,7,0
2010-11,United Kingdom,85055,FRENCH ENAMEL UTENSIL HOLDER,26,143.94,8,0
2010-11,United Kingdom,85059,FRENCH ENAMEL WATER BASIN,14,64.11,8,0
2010-11,United Kingdom,85061W,WHITE JEWELLED HEART DECORATION,218,192.59,24,0
2010-11,United Kingdom,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,209,361.19,19,0
2010-11,United Kingdom,85063,CREAM SWEETHEART MAGAZINE RACK,12,218.7,6,0
2010-11,United Kingdom,85064,CREAM SWEETHEART LETTER RACK,500,2106.48,38,0
2010-11,United Kingdom,85066,CREAM SWEETHEART MINI CHEST,234,2788,46,0
2010-11,United Kingdom,85067,CREAM SWEETHEART WALL CABINET,117,1618.34,13,0
2010-11,United Kingdom,85068,CREAM SWEETHEART SHELF + HOOKS,218,1363.06,18,0
2010-11,United Kingdom,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,219,404.13,6,0
2010-11,United Kingdom,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,98,42.38,3,0
2010-11,United Kingdom,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,15.3,4,0
2010-11,United Kingdom,85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,6,15.3,3,0
2010-11,United Kingdom,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,51,48.93,4,0
2010-11,United Kingdom,85084,HOLLY TOP CHRISTMAS STOCKING,154,173.02,26,0
2010-11,United Kingdom,85086A,CANDY SPOT HEART DECORATION,2,1.7,1,0
2010-11,United Kingdom,85087,CANDY SPOT CUSHION COVER,4,22.84,3,0
2010-11,United Kingdom,85088,CANDY SPOT HAND BAG,8,18.91,3,0
2010-11,United Kingdom,85089,CANDY SPOT BUNNY,2,5.9,1,0
2010-11,United Kingdom,85090,CANDY SPOT APRON,2,13.97,2,0
2010-11,United Kingdom,85092,CANDY SPOT TEA COSY,1,3.35,1,0
2010-11,United Kingdom,85094,CANDY SPOT EGG WARMER RABBIT,2,2.5,1,0
2010-11,United Kingdom,85096,HILDA CANDY SPOT RABBIT,5,30.36,4,0
2010-11,United Kingdom,85098B,BLUE FLYING SINGING CANARY,5,18.75,2,0
2010-11,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,5777,10336.72,232,0
2010-11,United Kingdom,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1587,3157.41,115,0
2010-11,United Kingdom,85099F,JUMBO BAG STRAWBERRY,1907,3348.37,77,0
